,RT,m/z,Metabolite,HMDB (*Representative ID),Pooled QC sample CV,Method,Intercept,diagnosis[T.UC],diagnosis[T.nonIBD],chemical_name
C18n_QI63,7.06,498.29,taurohyodeoxycholate/tauroursodeoxycholate,HMDB00874*,0.022425484,C18-neg,2.4510609717126712,-0.33165975582195983,-1.1394221110197351,C18n_QI63
C18n_QI64,6.15,514.2844,tauro-alpha-muricholate/tauro-beta-muricholate,HMDB00932*,0.023191657,C18-neg,0.2918912977929935,-0.2690314866264032,-1.0546170992704678,C18n_QI64
C18n_QI65,7.18,514.2845,taurocholate,HMDB00036,0.020577833,C18-neg,3.6258012861963143,0.5282133005897816,0.26468879748856544,C18n_QI65
C18n_QI66,2.84,137.0233,salicylate,HMDB01895,0.013075047,C18-neg,-1.3340661912206784,0.7238499306480719,-0.3777195734831143,C18n_QI66
C18n_TF5,0.92,179.0574,theophylline,HMDB01889,0.19651003600000003,C18-neg,1.2266285032983646,0.5432091139595325,1.2137481050637913,C18n_TF5
C18n_QI67,0.99,181.9909,saccharin,HMDB29723,0.02076906,C18-neg,1.5234801382776126,0.6141134880821539,-0.9306470675321864,C18n_QI67
C18n_QI68,3.67,187.0968,azelate,HMDB00784,0.012232628,C18-neg,1.2644421667810306,0.4626722716133429,0.9799356537011814,C18n_QI68
C18n_QI69,5.75,201.1126,sebacate,HMDB00792,0.024412179,C18-neg,0.2954561323877201,0.06405261981890753,0.6268439965394688,C18n_QI69
C18n_TF6,5.83,221.1183,2-hydroxyibuprofen,,0.079426006,C18-neg,0.290134152865015,-0.4541143990714716,0.9981288986352634,C18n_TF6
C18n_QI70,6.03,235.0973,carboxyibuprofen,,0.029964712,C18-neg,-1.3706396012548578,-0.4235159970481579,1.208484061255808,C18n_QI70
C18n_QI77,2.16,119.04899999999999,4-hydroxystyrene,HMDB04072,0.026569664,C18-neg,0.7652656645532474,1.0016297482292469,0.10491210986649513,C18n_QI77
C18n_QI80,10.37,329.1759,carnosol,HMDB02121,0.032129166,C18-neg,0.4133722395654544,0.7330750607292487,0.958347864642496,C18n_QI80
C18n_QI83,0.72,151.0253,oxypurinol,HMDB00786,0.019187572,C18-neg,0.3102800459619388,0.7307885073463751,0.9030906634477328,C18n_QI83
C18n_QI84,13.3,344.2808,palmitoylethanolamide,HMDB02100,0.036703857,C18-neg,-1.1020305543188231,-0.04095026027752624,0.02612025310074806,C18n_QI84
C18n_QI85,2.16,165.0547,phenyllactate,HMDB00779,0.019404433000000002,C18-neg,2.7756249518152103,1.0639412783424689,0.1103934722093296,C18n_QI85
C18n_QI86,1.29,151.039,p-hydroxyphenylacetate,HMDB00020,0.017897292,C18-neg,0.21287842700441928,0.5220573328773811,-0.1264151854368496,C18n_QI86
C18n_TF8,0.88,225.0881,porphobilinogen,HMDB00245,0.050196240999999996,C18-neg,2.3914286703821053,-0.03346463214947448,0.9158837275651646,C18n_TF8
C18n_QI88,6.09,593.3340000000001,urobilin,HMDB04159,0.031482405,C18-neg,2.8264495939966072,0.26367596614764466,1.6670901851800632,C18n_QI88
C18n_QI89,17.54,365.3424,nervonic acid,HMDB02368,0.170399248,C18-neg,-0.387266912961401,0.6086026810448004,0.294356771006937,C18n_QI89
C18n_QI90,0.94,161.9856,acesulfame,HMDB33585,0.035443279,C18-neg,-0.41378191998044395,0.7843222998421027,-0.6019191069456387,C18n_QI90
C18n_QI91,5.83,259.1817,oxymetazoline,HMDB15070,0.027091787000000003,C18-neg,-1.4314086823705807,0.16252354610369754,1.2002934293893528,C18n_QI91
C18n_QI245,0.48,112.9844,,,0.051243212,C18-neg,-0.7031667618993893,0.3171720885078741,0.025872655406351086,C18n_QI245
C18n_QI999,0.49,174.9552,,,0.049695295,C18-neg,-0.0015151887182369705,0.6618469141762091,0.4984212594178867,C18n_QI999
C18n_QI2215,0.49,242.9435,,,0.081526716,C18-neg,-1.3412635712865963,0.3977775954048468,0.2380133347657871,C18n_QI2215
C18n_QI2760,0.57,262.9302,,,0.028118386000000002,C18-neg,-1.0411842255834711,0.6391225241463019,0.12630028296982765,C18n_QI2760
C18n_QI4565,0.57,322.9415,,,0.032014909,C18-neg,-0.5170066743139401,0.5375731371681525,0.4596136288789463,C18n_QI4565
C18n_QI6720,0.57,390.9166,,,0.049257703,C18-neg,-1.5235851197485104,0.5435457609932257,0.41235918571030616,C18n_QI6720
C18n_QI12674,0.59,614.8998,,,0.057231814000000006,C18-neg,-1.0439765839819088,0.3792300604622181,-0.06718843410933495,C18n_QI12674
C18n_QI5677,0.6,358.9447,,,0.033727144,C18-neg,-0.5821788697485104,0.7911500119011237,0.4983686881211949,C18n_QI5677
C18n_QI6582,0.6,386.9396,,,0.025572412000000003,C18-neg,1.342974385714136,1.0268394135277106,0.6805834250596714,C18n_QI6582
C18n_QI7069,0.6,400.9551,,,0.026278232999999998,C18-neg,1.169662198519312,0.996678628806336,0.6517414527085972,C18n_QI7069
C18n_QI9343,0.6,472.9247,,,0.032442697,C18-neg,-0.21448878338376431,0.9124246023933722,0.5858075099137974,C18n_QI9343
C18n_QI9795,0.6,486.9405,,,0.048004522,C18-neg,-0.19580153515378385,0.5309694193641974,0.2402823643830967,C18n_QI9795
C18n_QI10214,0.6,500.9199,,,0.028429292999999998,C18-neg,0.8197214216943607,0.7639774464409186,0.3575924115327549,C18n_QI10214
C18n_QI10626,0.6,514.9352,,,0.034216683,C18-neg,0.6651613325830326,0.9613860033790882,0.5665280299333286,C18n_QI10626
C18n_QI12254,0.6,586.9048,,,0.056160548,C18-neg,-1.0633342652563231,0.6731915854255988,0.2477890925553989,C18n_QI12254
C18n_QI12470,0.6,600.9207,,,0.051967035999999994,C18-neg,-0.9919097810033932,0.6539665840904529,0.2739397959855747,C18n_QI12470
C18n_QI12695,0.6,616.8986,,,0.051310849000000006,C18-neg,-0.8074186234716549,0.8135162972252203,0.3736528830674839,C18n_QI12695
C18n_QI12830,0.6,628.9157,,,0.050459127,C18-neg,-1.2048061280492917,0.8084087752144171,0.40425676871811866,C18n_QI12830
C18n_QI12845,0.6,630.9144,,,0.058807809,C18-neg,-0.8550708680395259,0.7169633292000128,0.2726312356141758,C18n_QI12845
C18n_QI13509,0.6,730.88,,,0.079706063,C18-neg,-1.2678602128271237,0.28006700504229803,-0.2435569090696621,C18n_QI13509
C18n_QI13563,0.6,744.8958,,,0.064910695,C18-neg,-1.2380111603979245,0.8148048304359747,0.3775748686937046,C18n_QI13563
C18n_QI257,0.61,114.9875,,,0.037719454,C18-neg,-1.1607320695165768,0.6241020344536139,0.3478836493638706,C18n_QI257
C18n_QI456,0.61,130.9825,,,0.030577799,C18-neg,-0.5508745103124753,0.6914860390465094,0.4416343646196079,C18n_QI456
C18n_QI806,0.61,158.9775,,,0.030080144,C18-neg,1.2591693014856205,0.9056370638649298,0.6368573384431553,C18n_QI806
C18n_QI980,0.61,172.9933,,,0.034796941,C18-neg,-0.11847380688229947,0.7493983887474371,0.4461541848329258,C18n_QI980
C18n_QI2275,0.61,244.9639,,,0.020157783999999998,C18-neg,0.8577520460840091,0.976964273337586,0.6821166949418735,C18n_QI2275
C18n_QI2647,0.61,258.9797,,,0.02285146,C18-neg,-0.2993953614477292,0.8427553557197864,0.5231160597947788,C18n_QI2647
C18n_QI3050,0.61,272.9593,,,0.018693907,C18-neg,2.593616208529077,1.0296724222938851,0.7132188754228306,C18n_QI3050
C18n_QI3467,0.61,286.9748,,,0.021240464,C18-neg,1.8258487791772708,0.936042942885619,0.5892277436402988,C18n_QI3467
C18n_QI3866,0.61,300.9904,,,0.025253362,C18-neg,0.1305772871728763,1.0185909651558234,0.6380289273408604,C18n_QI3866
C18n_QI6122,0.61,372.9602,,,0.040829162,C18-neg,-1.2691963105444088,0.8647175215523077,0.5571270661500645,C18n_QI6122
C18n_QI7136,0.61,402.9171,,,0.037865884,C18-neg,0.3257348150964603,1.0475013636390995,0.4774838166383457,C18n_QI7136
C18n_QI7520,0.61,414.9709,,,0.03540932,C18-neg,0.2509491057153568,0.8462545059959723,0.4715767579225254,C18n_QI7520
C18n_QI7610,0.61,416.9328,,,0.045841176,C18-neg,0.028116425966821627,1.2084470175545032,0.6077024417070103,C18n_QI7610
C18n_QI7947,0.61,428.9863,,,0.049085349,C18-neg,-1.3874252228979245,0.989747443083985,0.5874349551347446,C18n_QI7947
C18n_QI8014,0.61,430.9482,,,0.054501187,C18-neg,-0.6970146088842526,0.7481296442787482,0.10251910258805276,C18n_QI8014
C18n_QI10215,0.61,500.9559,,,0.071922258,C18-neg,-1.4660165696386471,0.7914363526146246,0.4170352893022251,C18n_QI10215
C18n_QI10685,0.61,516.8976,,,0.068599368,C18-neg,0.2520715803857669,0.16921524036334112,-0.6026438994261074,C18n_QI10685
C18n_QI11044,0.61,528.9509,,,0.040330386,C18-neg,0.04427929828127475,0.6433148764412221,0.21312493850266456,C18n_QI11044
C18n_QI11097,0.61,530.9132,,,0.060495885,C18-neg,-0.29884318401852994,0.9640822790901497,0.3787710147050571,C18n_QI11097
C18n_QI11418,0.61,542.9667,,,0.099473116,C18-neg,-1.3055742173437253,0.5421568535606696,0.0719183163789463,C18n_QI11418
C18n_QI11464,0.61,544.9286,,,0.115852241,C18-neg,-0.8736217408422604,0.4489851378242786,-0.12518852184737206,C18n_QI11464
C18n_QI3545,0.62,288.9367,,,0.033729419,C18-neg,0.4567434401269779,1.0449736498634632,0.4880217986253452,C18n_QI3545
C18n_QI3929,0.62,302.9523,,,0.039022434,C18-neg,-0.1802547364477292,1.0450761698524786,0.4166998343614292,C18n_QI3929
C18n_QI6123,0.63,373.0593,,,0.047318929,C18-neg,-1.3341319947485104,0.6169740341942127,0.4768335299638462,C18n_QI6123
C18n_QI1860,0.64,226.9658,,,0.050475627,C18-neg,-0.9161222367529048,0.4322159670631721,0.060773916736001965,C18n_QI1860
C18n_QI2658,0.64,259.0788,,,0.041777378,C18-neg,-0.8655631928686276,0.5634501360695197,0.4538449721482945,C18n_QI2658
C18n_QI158,0.65,96.9588,,,0.046473361,C18-neg,-1.3279779343847409,0.3064194105903937,0.3782481627610874,C18n_QI158
C18n_QI622,0.65,145.0972,,,0.033199322,C18-neg,-0.6358974366430417,0.6997914694588019,0.4318963961747837,C18n_QI622
C18n_QI1969,0.65,231.0985,,,0.041765908,C18-neg,-0.6476276307348385,0.28037075031207337,1.3066417651323032,C18n_QI1969
C18n_QI2198,0.65,242.9398,,,0.074164713,C18-neg,-1.4913108735326899,0.7200334452431036,0.4804250674394322,C18n_QI2198
C18n_QI3941,0.65,303.1202,,,0.050773282,C18-neg,-0.9520795731786862,0.39496091831134095,0.4388943390992832,C18n_QI3941
C18n_QI4052,0.65,307.1515,,,0.039919262000000004,C18-neg,-0.6148002534155026,-0.17157121669842468,-1.2246784491392422,C18n_QI4052
C18n_QI4427,0.65,317.147,,,0.042712225,C18-neg,-0.7363136201147213,-0.11312671672894226,-0.2542704863401699,C18n_QI4427
C18n_QI4527,0.65,321.1308,,,0.05101183,C18-neg,-0.5525777726415768,0.06261447894976868,-0.3539273066374111,C18n_QI4527
C18n_QI4687,0.65,326.9018,,,0.090257785,C18-neg,-1.3394258408788815,0.3590093039314581,0.05537564326798439,C18n_QI4687
C18n_QI13159,0.65,665.2157,,,0.08528173,C18-neg,-0.7121637254003659,0.0517220877449347,-1.4732641501280117,C18n_QI13159
C18n_QI13415,0.65,711.2214,,,0.11241492800000001,C18-neg,-1.0185897736791745,-0.35877986919476434,-1.9180731100889488,C18n_QI13415
C18n_QI246,0.66,112.9844,,,0.048489348,C18-neg,-0.8016059785131588,0.5178358935158069,0.2998264508393955,C18n_QI246
C18n_QI472,0.66,132.0291,,,0.051861133,C18-neg,-0.7035377412084713,0.4243438624183948,0.8077188210633945,C18n_QI472
C18n_QI770,0.66,154.0612,,,0.039950586,C18-neg,-0.8164298920873776,-0.27178689014507995,-1.0732039732786465,C18n_QI770
C18n_QI1635,0.66,214.0329,,,0.084092465,C18-neg,-1.2648456483129635,0.07835725772784485,-0.08567803333724022,C18n_QI1635
C18n_QI1800,0.66,225.0073,,,0.069272296,C18-neg,-1.1855705170873776,-0.00991841327740417,0.9460915999559116,C18n_QI1800
C18n_QI1862,0.66,227.0228,,,0.054467114000000004,C18-neg,-0.7216661362890378,0.18465475070880188,0.8994708733705234,C18n_QI1862
C18n_QI2217,0.66,243.018,,,0.04735185,C18-neg,-0.2395494370702877,-0.07594080936505065,0.0059563594011020635,C18n_QI2217
C18n_QI3594,0.66,290.0885,,,0.050227992,C18-neg,0.16053696582277865,0.16058758724139466,-0.16600411365950585,C18n_QI3594
C18n_QI5920,0.66,367.082,,,0.096693986,C18-neg,-1.2193773179296628,-0.05421896946026728,0.65728694964921,C18n_QI5920
C18n_QI7375,0.66,410.8635,,,0.106692206,C18-neg,-1.3726280122045649,0.6576928280632313,0.582324095263834,C18n_QI7375
C18n_QI10278,0.66,503.1625,,,0.090272559,C18-neg,-0.7124517350439206,-0.0027191258628551647,-0.549779347881918,C18n_QI10278
C18n_QI11530,0.66,549.1679,,,0.060601833,C18-neg,0.06740685412844273,0.020463981513243468,-0.4918653292509365,C18n_QI11530
C18n_QI432,0.67,128.9584,,,0.046020385999999996,C18-neg,-0.8316638856176509,0.6213373326103522,0.6111783461717321,C18n_QI432
C18n_QI2772,0.67,263.0974,,,0.06994594900000001,C18-neg,-0.7927320389989987,0.9189170979301764,-0.2444490713926601,C18n_QI2772
C18n_QI3273,0.67,280.9089,,,0.05780526,C18-neg,-1.5077197938207758,0.7784352682869269,0.6806898789552402,C18n_QI3273
C18n_QI3754,0.67,296.8826,,,0.08975094900000001,C18-neg,-1.3081577210668698,0.6792916439812018,0.6262628512529087,C18n_QI3754
C18n_QI5140,0.67,341.1093,,,0.050737469,C18-neg,0.1399156660791263,0.23735026348040836,0.12192852069413185,C18n_QI5140
C18n_QI6593,0.67,387.1151,,,0.076721734,C18-neg,-0.5004899888281003,0.008784808997376103,-0.2232763094755459,C18n_QI6593
C18n_QI469,0.68,131.0815,,,0.032524364,C18-neg,-1.0637834458593505,0.10293582904742493,0.16405398417984962,C18n_QI469
C18n_QI394,0.69,124.0062,,,0.032193577,C18-neg,0.04637261340578647,0.809058704261048,-0.4004661364408779,C18n_QI394
C18n_QI569,0.69,139.0502,,,0.046843518,C18-neg,-1.3070543198827878,0.3885114573280646,-0.013963155254964832,C18n_QI569
C18n_QI998,0.69,174.0875,,,0.049506825,C18-neg,-0.90296916058103,-0.08432837497784362,0.24871260692154884,C18n_QI998
C18n_QI82,0.69,179.0553,,,0.03873931,C18-neg,-0.05908373882810025,0.3020141505043341,0.036559410586709966,C18n_QI82
C18n_QI1090,0.69,181.071,,,0.066925327,C18-neg,-1.0924775986913815,-0.3144836045463251,0.10271317531144142,C18n_QI1090
C18n_QI2026,0.69,235.0393,,,0.060415237000000004,C18-neg,-1.5640628724340573,0.2631662272255255,1.0765543656495762,C18n_QI2026
C18n_QI2421,0.69,251.0773,,,0.039215941000000004,C18-neg,-0.4846704392675534,0.18879584300921687,0.9489017205384922,C18n_QI2421
C18n_QI2462,0.69,253.093,,,0.054934652,C18-neg,-0.7245204835180417,-0.5710105515678112,-0.4633986277433682,C18n_QI2462
C18n_QI3283,0.69,281.0879,,,0.082887872,C18-neg,-1.4200399308447018,0.17206100452349915,0.5934069829133701,C18n_QI3283
C18n_QI5992,0.69,369.1042,,,0.04483738599999999,C18-neg,-0.24838141491452606,0.2703106783668829,0.28085727263962745,C18n_QI5992
C18n_QI8067,0.69,432.175,,,0.065508307,C18-neg,-0.07370451977292447,0.2819083117286976,0.5649319367555332,C18n_QI8067
C18n_QI8429,0.69,445.1568,,,0.046802131,C18-neg,-0.019108572507299467,0.4384482287208869,0.6251652913240147,C18n_QI8429
C18n_QI9183,0.69,468.1514,,,0.08290729599999999,C18-neg,-0.09143714001218227,-0.05175658237530456,0.2302268223909092,C18n_QI9183
C18n_QI9502,0.69,478.1804,,,0.072755876,C18-neg,-0.4349944978002682,0.3490305327217413,0.6817259268907261,C18n_QI9502
C18n_QI293,0.7,116.0705,,,0.031689603999999996,C18-neg,-0.04411772778073697,0.18094448078082334,0.16554302741562846,C18n_QI293
C18n_QI429,0.7,128.0341,,,0.028529019,C18-neg,0.007059297060571623,-0.2659773446281122,0.3078308777955723,C18n_QI429
C18n_QI486,0.7,134.0461,,,0.037690159,C18-neg,-1.1610181718114987,0.6661374949257189,1.1474220829156592,C18n_QI486
C18n_QI625,0.7,146.0448,,,0.02975435,C18-neg,1.0976183027978763,0.2936787985603626,0.873131938472147,C18n_QI625
C18n_QI689,0.7,149.0444,,,0.053286927000000005,C18-neg,-1.238385954404272,0.4913726233284308,-0.09523265789473534,C18n_QI689
C18n_QI990,0.7,173.0922,,,0.037992635,C18-neg,-1.5882213502172604,0.490924634818299,0.7004159169343662,C18n_QI990
C18n_QI1065,0.7,180.0657,,,0.02515221,C18-neg,0.4433228583093509,0.4271994017402943,0.6302552895692539,C18n_QI1065
C18n_QI1215,0.7,187.108,,,0.034354592999999996,C18-neg,-0.33955267956296353,-0.1776060677726452,0.12791020442521095,C18n_QI1215
C18n_QI1342,0.7,194.9962,,,0.038447168999999996,C18-neg,0.6662547201867923,0.08325556743548468,0.1484113412049961,C18n_QI1342
C18n_QI1698,0.7,217.1189,,,0.023863365,C18-neg,-0.5181129365209713,0.5995371722023322,0.7799604611543369,C18n_QI1698
C18n_QI1732,0.7,221.0663,,,0.060917908,C18-neg,-0.9015930085424556,-0.007779798622863154,0.376181312098856,C18n_QI1732
C18n_QI2870,0.7,267.0734,,,0.045525827000000005,C18-neg,-0.992038527036108,0.3112683676521613,0.6757386403230381,C18n_QI2870
C18n_QI4572,0.7,323.0987,,,0.028248815,C18-neg,0.7081329436059818,0.3318837069313361,0.65127629806077,C18n_QI4572
C18n_QI5071,0.7,339.0953,,,0.07807998,C18-neg,-1.4198062806371825,0.7449429415504767,0.21546322871720314,C18n_QI5071
C18n_QI5681,0.7,359.0757,,,0.051716133,C18-neg,-0.041467466855444,0.3448729895393665,0.11391109992539405,C18n_QI5681
C18n_QI5748,0.7,361.0726,,,0.105361545,C18-neg,-1.3163841157201899,0.21765426624224735,-0.009800128445272449,C18n_QI5748
C18n_QI6250,0.7,377.086,,,0.052451665,C18-neg,0.5821272940393314,0.12083581912921025,-0.2283276839109707,C18n_QI6250
C18n_QI6334,0.7,379.0829,,,0.109160572,C18-neg,-0.4878967194799557,-0.1717276192863153,-0.6149029059263516,C18n_QI6334
C18n_QI8149,0.7,435.1278,,,0.052348935,C18-neg,0.12561150500734894,0.19518021572039854,-0.06495564411604883,C18n_QI8149
C18n_QI8209,0.7,437.1248,,,0.111550435,C18-neg,-1.0885150819067135,0.034174718741637015,-0.09288542698348046,C18n_QI8209
C18n_QI9248,0.7,470.1484,,,0.10778580300000001,C18-neg,-0.7398784547094479,-0.4583334542472546,-0.07883613537276267,C18n_QI9248
C18n_QI11303,0.7,539.1389,,,0.121406847,C18-neg,-0.1288688569311276,-0.2067038632590936,-0.6338640971037197,C18n_QI11303
C18n_QI202,0.71,107.0364,,,0.055144755,C18-neg,-0.5390193848852292,1.3003446244041754,-4.572941951260214,C18n_QI202
C18n_QI214,0.71,108.0442,,,0.03132992,C18-neg,1.9234120459314208,1.4755077742378546,-3.122612170681601,C18n_QI214
C18n_QI231,0.71,109.0475,,,0.056562922,C18-neg,-0.8360269456152096,0.5459198139946295,-6.320598296627643,C18n_QI231
C18n_QI736,0.71,152.0342,,,0.019487604,C18-neg,3.4585730643030037,1.7388785265724491,-3.4136039538236904,C18n_QI736
C18n_QI913,0.71,167.02,,,0.026368448,C18-neg,0.05647488543947787,-0.7181198216636364,-0.2954546732755947,C18n_QI913
